,population,median_age,median_household_income,median_home_value,median_gross_rent,poverty_pct,unemployment_pct,vacancy_pct,homeownership_pct,bachelors_plus_pct,declarations,precipitation_inches,temperature_f,inflow_individuals_per_1000,outflow_individuals_per_1000,net_individuals_per_1000
population,1.0,-0.3678343558556704,0.39253033906314655,0.5568704462968248,0.6704641277740171,-0.1339729720291072,0.19855528490750415,-0.571201037674763,-0.36119488802405986,0.46741443753358036,0.04265566623627316,0.3013870204199099,0.11207408364909838,0.17156337788583606,0.12283557271991363,0.10495547964353606
median_age,-0.3678343558556704,1.0,-0.1352899544921124,-0.11933612194258371,-0.2828899782504085,-0.11099002884324602,-0.0907096169305771,0.48147761267006656,0.5573750234175749,-0.1282554503766527,0.02221039714888219,0.06990323413061743,-0.2017609179538388,-0.026742212436240614,-0.1995811885756829,0.25230225449498056
median_household_income,0.39253033906314655,-0.1352899544921124,1.0,0.7423938644512387,0.6709464380315034,-0.8218056961338445,-0.3691983992547909,-0.5084872090033534,0.1462470177956198,0.6825767935925148,-0.066355574038482,-0.1898148056309807,-0.3059156314860645,0.24079505365557563,0.2815573334376097,0.0717381140500184
median_home_value,0.5568704462968248,-0.11933612194258371,0.7423938644512387,1.0,0.7893935441450758,-0.5511294900416471,-0.1387100152737766,-0.4283100198590219,-0.052410859227732635,0.7071270001016695,0.0005797489475480276,-0.014337857628405528,-0.22797489382621955,0.4424672714305729,0.3913272406897796,0.23820464389643548
median_gross_rent,0.6704641277740171,-0.2828899782504085,0.6709464380315034,0.7893935441450758,1.0,-0.41991304735441826,-0.005598607906122156,-0.4741396854376399,-0.2100187641547583,0.6393772551665426,0.007320123122466364,0.06640063365018908,0.009582279343838181,0.40872275615142506,0.4201376189664553,0.13932855892764667
poverty_pct,-0.1339729720291072,-0.11099002884324602,-0.8218056961338445,-0.5511294900416471,-0.41991304735441826,1.0,0.5100267469370755,0.3407844990214757,-0.34541022375330327,-0.5378777916463163,0.11800892269386902,0.26359219033938314,0.39658964943782055,-0.18052568062740798,-0.17943663855740938,-0.11395362708483628
unemployment_pct,0.19855528490750415,-0.0907096169305771,-0.3691983992547909,-0.1387100152737766,-0.005598607906122156,0.5100267469370755,1.0,0.1262758042542185,-0.2452370395236706,-0.23399063986538515,0.10230652221275076,0.30882148597517,0.29384722208765685,-0.04421823992491315,-0.06452371126341415,-0.02182377123683938
vacancy_pct,-0.571201037674763,0.48147761267006656,-0.5084872090033534,-0.4283100198590219,-0.4741396854376399,0.3407844990214757,0.1262758042542185,1.0,0.2564113032157104,-0.36760253669520443,0.046905224275652635,0.004943519304924521,0.045059226845293704,-0.12040973236331148,-0.14405236364110305,-0.016046483653674122
homeownership_pct,-0.36119488802405986,0.5573750234175749,0.1462470177956198,-0.052410859227732635,-0.2100187641547583,-0.34541022375330327,-0.2452370395236706,0.2564113032157104,1.0,-0.1310592149053292,-0.036233640475213144,-0.08086222797392008,-0.1730619076605828,0.08360652346239925,-0.055688986785210906,0.2896640925122647
bachelors_plus_pct,0.46741443753358036,-0.1282554503766527,0.6825767935925148,0.7071270001016695,0.6393772551665426,-0.5378777916463163,-0.23399063986538515,-0.36760253669520443,-0.1310592149053292,1.0,-0.04074702634072712,-0.10256734493444238,-0.2703961975655375,0.229340189691706,0.277152257906051,0.016021328909212595
declarations,0.04265566623627316,0.02221039714888219,-0.066355574038482,0.0005797489475480276,0.007320123122466364,0.11800892269386902,0.10230652221275076,0.046905224275652635,-0.036233640475213144,-0.04074702634072712,1.0,0.21062948011537527,0.11176681350829418,-0.021026519711708096,-0.052821925799102575,0.03526645429646859
precipitation_inches,0.3013870204199099,0.06990323413061743,-0.1898148056309807,-0.014337857628405528,0.06640063365018908,0.26359219033938314,0.30882148597517,0.004943519304924521,-0.08086222797392008,-0.10256734493444238,0.21062948011537527,1.0,0.4552149384508835,0.12959021826192912,0.004170565952887284,0.21021357639467056
temperature_f,0.11207408364909838,-0.2017609179538388,-0.3059156314860645,-0.22797489382621955,0.009582279343838181,0.39658964943782055,0.29384722208765685,0.045059226845293704,-0.1730619076605828,-0.2703961975655375,0.11176681350829418,0.4552149384508835,1.0,0.2102010630359448,0.17764358155041413,0.14509256567584528
inflow_individuals_per_1000,0.17156337788583606,-0.026742212436240614,0.24079505365557563,0.4424672714305729,0.40872275615142506,-0.18052568062740798,-0.04421823992491315,-0.12040973236331148,0.08360652346239925,0.229340189691706,-0.021026519711708096,0.12959021826192912,0.2102010630359448,1.0,0.8000365654468687,0.6277376631990383
outflow_individuals_per_1000,0.12283557271991363,-0.1995811885756829,0.2815573334376097,0.3913272406897796,0.4201376189664553,-0.17943663855740938,-0.06452371126341415,-0.14405236364110305,-0.055688986785210906,0.277152257906051,-0.052821925799102575,0.004170565952887284,0.17764358155041413,0.8000365654468687,1.0,0.11943111941568031
net_individuals_per_1000,0.10495547964353606,0.25230225449498056,0.0717381140500184,0.23820464389643548,0.13932855892764667,-0.11395362708483628,-0.02182377123683938,-0.016046483653674122,0.2896640925122647,0.016021328909212595,0.03526645429646859,0.21021357639467056,0.14509256567584528,0.6277376631990383,0.11943111941568031,1.0
