table,variable,dtype,rows,missing,missing_pct,unique,zeros,negative,infinite,minimum,p01,median,p99,maximum,skew,iqr_outliers
analysis_county_year,masters_reconstructed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,professional_degree_reconstructed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,doctorate_reconstructed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,geography_level,str,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,identifier_repaired,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,median_age_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,median_household_income_imputed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,median_home_value_imputed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,median_gross_rent_imputed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,poverty_universe_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,below_poverty_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,housing_units_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,vacant_units_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,occupied_units_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,owner_occupied_units_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,civilian_labor_force_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,unemployed_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,population_25_plus_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,bachelors_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,masters_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,professional_degree_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,doctorate_imputed,bool,46026,0,0.0,1,,,,,,,,,,
analysis_county_year,socioeconomic_imputed,bool,46026,0,0.0,2,,,,,,,,,,
analysis_county_year,data_split,str,46026,0,0.0,3,,,,,,,,,,
analysis_county_year,log10_population,float64,46026,0,0.0,35970,0.0,0.0,0.0,2.3820170425748683,3.2022155193049153,4.42212181016856,6.1069577348067545,7.004567346986855,0.44447298208533187,794.0
analysis_county_year,education_band,string,46026,0,0.0,4,,,,,,,,,,
analysis_county_year,population_band,string,46026,0,0.0,4,,,,,,,,,,
analysis_county_year,migration_balance,str,46026,0,0.0,3,,,,,,,,,,
analysis_county_year,net_rate_iqr_flag,bool,46026,0,0.0,2,,,,,,,,,,
climate_county_year,county_fips,str,53414,0,0.0,3142,,,,,,,,,,
climate_county_year,year,int64,53414,0,0.0,17,0.0,0.0,0.0,2009.0,2009.0,2017.0,2025.0,2025.0,0.0,0.0
climate_county_year,precipitation_inches,float64,53414,0,0.0,10161,0.0,0.0,0.0,1.25,7.93,40.78,80.91,238.69,1.0926289970415834,393.0
climate_county_year,temperature_f,float64,53414,0,0.0,6242,0.0,0.0,0.0,13.575000000000001,36.79275,55.30416666666667,73.85000000000001,78.56666666666666,-0.09156037795534286,156.0
climate_county_year,tmax_f,float64,53414,0,0.0,6252,0.0,0.0,0.0,20.10833333333333,46.64166666666667,66.425,84.51558333333335,89.95,-0.19053252443038443,228.0
climate_county_year,tmin_f,float64,53414,0,0.0,6261,0.0,0.0,0.0,7.0583333333333345,26.06775,44.26666666666667,63.86666666666667,70.95833333333333,-0.012838913690897359,125.0
climate_county_year,precipitation_inches_months,int64,53414,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_county_year,temperature_f_months,int64,53414,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_county_year,tmax_f_months,int64,53414,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_county_year,tmin_f_months,int64,53414,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_incomplete_years,county_fips,str,3142,0,0.0,3142,,,,,,,,,,
climate_incomplete_years,year,int64,3142,0,0.0,1,0.0,0.0,0.0,2026.0,2026.0,2026.0,2026.0,2026.0,0.0,0.0
climate_incomplete_years,precipitation_inches,float64,3142,3142,100.0,0,0.0,0.0,0.0,,,,,,,0.0
climate_incomplete_years,temperature_f,float64,3142,3142,100.0,0,0.0,0.0,0.0,,,,,,,0.0
climate_incomplete_years,tmax_f,float64,3142,3142,100.0,0,0.0,0.0,0.0,,,,,,,0.0
climate_incomplete_years,tmin_f,float64,3142,3142,100.0,0,0.0,0.0,0.0,,,,,,,0.0
climate_incomplete_years,precipitation_inches_months,int64,3142,0,0.0,1,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0
climate_incomplete_years,temperature_f_months,int64,3142,0,0.0,1,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0
climate_incomplete_years,tmax_f_months,int64,3142,0,0.0,1,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0
climate_incomplete_years,tmin_f_months,int64,3142,0,0.0,1,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0
climate_monthly,county_fips,str,2714688,0,0.0,3142,,,,,,,,,,
climate_monthly,year,int64,2714688,0,0.0,18,0.0,0.0,0.0,2009.0,2009.0,2017.5,2026.0,2026.0,0.0,0.0
climate_monthly,month,int64,2714688,0,0.0,12,0.0,0.0,0.0,1.0,1.0,6.5,12.0,12.0,0.0,0.0
climate_monthly,value,float64,2714688,50272,1.8518518518518516,3480,2727.0,3930.0,0.0,-33.0,0.18,46.3,92.4,112.2,-0.12685885286633175,0.0
climate_monthly,missing_sentinel,bool,2714688,0,0.0,2,,,,,,,,,,
climate_monthly,variable,str,2714688,0,0.0,4,,,,,,,,,,
climate_state_year,county_fips,str,34,0,0.0,2,,,,,,,,,,
climate_state_year,year,int64,34,0,0.0,17,0.0,0.0,0.0,2009.0,2009.0,2017.0,2025.0,2025.0,0.0,0.0
climate_state_year,precipitation_inches,float64,34,0,0.0,34,0.0,0.0,0.0,33.85,34.2988,40.455,63.1851,63.69,1.3702721740732429,3.0
climate_state_year,temperature_f,float64,34,0,0.0,34,0.0,0.0,0.0,24.308333333333334,25.026083333333332,40.43333333333334,52.38141666666667,52.46666666666667,-0.03357067422995703,0.0
climate_state_year,tmax_f,float64,34,0,0.0,33,0.0,0.0,0.0,31.841666666666665,32.523666666666664,49.02916666666667,62.21675,62.225,-0.022899874851404246,0.0
climate_state_year,tmin_f,float64,34,0,0.0,34,0.0,0.0,0.0,16.766666666666666,17.476166666666668,31.77916666666667,42.595,42.65,-0.04772727117632181,0.0
climate_state_year,precipitation_inches_months,int64,34,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_state_year,temperature_f_months,int64,34,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_state_year,tmax_f_months,int64,34,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
climate_state_year,tmin_f_months,int64,34,0,0.0,1,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0
