county_fips,incidentId,declaration_count,declaration_numbers
48275,2020030901,2,"3458, 4485"
48275,2021021302,2,"3554, 4586"
48277,2020030901,2,"3458, 4485"
48277,2021021302,2,"3554, 4586"
48279,2020030901,2,"3458, 4485"
48279,2021021302,2,"3554, 4586"
48281,2020030901,2,"3458, 4485"
48281,2021021302,2,"3554, 4586"
48283,2020030901,2,"3458, 4485"
48283,2021021302,2,"3554, 4586"
48283,2026071703,2,"3649, 4935"
48285,2020030901,2,"3458, 4485"
48285,2021021302,2,"3554, 4586"
48287,2020030901,2,"3458, 4485"
48287,2021021302,2,"3554, 4586"
48289,2020030901,2,"3458, 4485"
48289,2021021302,2,"3554, 4586"
48291,2020030901,2,"3458, 4485"
48291,2021021302,2,"3554, 4586"
48293,2020030901,2,"3458, 4485"
48293,2021021302,2,"3554, 4586"
48295,2020030901,2,"3458, 4485"
48295,2021021302,2,"3554, 4586"
48297,2020030901,2,"3458, 4485"
48297,2021021302,2,"3554, 4586"
48299,2020030901,2,"3458, 4485"
48299,2021021302,2,"3554, 4586"
48301,2020030901,2,"3458, 4485"
48301,2021021302,2,"3554, 4586"
48303,2020030901,2,"3458, 4485"
48303,2021021302,2,"3554, 4586"
48305,2020030901,2,"3458, 4485"
48305,2021021302,2,"3554, 4586"
48307,2020030901,2,"3458, 4485"
48307,2021021302,2,"3554, 4586"
48309,2020030901,2,"3458, 4485"
48309,2021021302,2,"3554, 4586"
48311,2020030901,2,"3458, 4485"
48311,2021021302,2,"3554, 4586"
48313,2020030901,2,"3458, 4485"
48313,2021021302,2,"3554, 4586"
48315,2020030901,2,"3458, 4485"
48315,2021021302,2,"3554, 4586"
48317,2020030901,2,"3458, 4485"
48317,2021021302,2,"3554, 4586"
48319,2020030901,2,"3458, 4485"
48319,2021021302,2,"3554, 4586"
48319,2026071703,2,"3649, 4935"
48321,2020030901,2,"3458, 4485"
48321,2021021302,2,"3554, 4586"
48323,2020030901,2,"3458, 4485"
48323,2021021302,2,"3554, 4586"
48323,2026071703,2,"3649, 4935"
48325,2020030901,2,"3458, 4485"
48325,2021021302,2,"3554, 4586"
48327,2020030901,2,"3458, 4485"
48327,2021021302,2,"3554, 4586"
48327,2026071703,2,"3649, 4935"
48329,2020030901,2,"3458, 4485"
48329,2021021302,2,"3554, 4586"
48331,2020030901,2,"3458, 4485"
48331,2021021302,2,"3554, 4586"
48333,2020030901,2,"3458, 4485"
48333,2021021302,2,"3554, 4586"
48335,2020030901,2,"3458, 4485"
48335,2021021302,2,"3554, 4586"
48337,2020030901,2,"3458, 4485"
48337,2021021302,2,"3554, 4586"
48339,2020030901,2,"3458, 4485"
48339,2021021302,2,"3554, 4586"
48341,2020030901,2,"3458, 4485"
48341,2021021302,2,"3554, 4586"
48343,2020030901,2,"3458, 4485"
48343,2021021302,2,"3554, 4586"
48345,2020030901,2,"3458, 4485"
48345,2021021302,2,"3554, 4586"
48347,2020030901,2,"3458, 4485"
48347,2021021302,2,"3554, 4586"
48349,2020030901,2,"3458, 4485"
48349,2021021302,2,"3554, 4586"
48351,2020030901,2,"3458, 4485"
48351,2020081804,2,"3540, 4572"
48351,2021021302,2,"3554, 4586"
48353,2020030901,2,"3458, 4485"
48353,2021021302,2,"3554, 4586"
48355,2020030901,2,"3458, 4485"
48355,2021021302,2,"3554, 4586"
48357,2020030901,2,"3458, 4485"
48357,2021021302,2,"3554, 4586"
48359,2020030901,2,"3458, 4485"
48359,2021021302,2,"3554, 4586"
48361,2020030901,2,"3458, 4485"
48361,2020081804,2,"3540, 4572"
48361,2021021302,2,"3554, 4586"
48363,2020030901,2,"3458, 4485"
48363,2021021302,2,"3554, 4586"
48365,2020030901,2,"3458, 4485"
48365,2021021302,2,"3554, 4586"
48367,2020030901,2,"3458, 4485"
48367,2021021302,2,"3554, 4586"
48369,2020030901,2,"3458, 4485"
48369,2021021302,2,"3554, 4586"
48371,2020030901,2,"3458, 4485"
48371,2021021302,2,"3554, 4586"
48373,2020030901,2,"3458, 4485"
48373,2021021302,2,"3554, 4586"
48375,2020030901,2,"3458, 4485"
48375,2021021302,2,"3554, 4586"
48377,2020030901,2,"3458, 4485"
48377,2021021302,2,"3554, 4586"
48379,2020030901,2,"3458, 4485"
48379,2021021302,2,"3554, 4586"
48381,2020030901,2,"3458, 4485"
48381,2021021302,2,"3554, 4586"
48383,2020030901,2,"3458, 4485"
48383,2021021302,2,"3554, 4586"
48385,2020030901,2,"3458, 4485"
48385,2021021302,2,"3554, 4586"
48385,2026071703,2,"3649, 4935"
48387,2020030901,2,"3458, 4485"
48387,2021021302,2,"3554, 4586"
48389,2020030901,2,"3458, 4485"
48389,2021021302,2,"3554, 4586"
