,population,median_age,median_household_income,median_home_value,median_gross_rent,poverty_pct,unemployment_pct,vacancy_pct,homeownership_pct,bachelors_plus_pct,declarations,precipitation_inches,temperature_f,inflow_individuals_per_1000,outflow_individuals_per_1000,net_individuals_per_1000
population,1.0,-0.16348801258264006,0.2943884540863932,0.38725925891649254,0.4711203103161283,-0.09765399005587148,0.0662931379807409,-0.21798826151199105,-0.31197513550936506,0.3397273189188189,0.10204022078122396,0.04772233256647226,0.09440511167174825,-0.04015914892753741,0.005945352749146294,-0.07947773708215826
median_age,-0.16348801258264006,1.0,-0.1091024249570534,-0.04524328748249201,-0.18398968376940075,-0.15939258969496034,-0.07788336525168166,0.5017630311569584,0.5684746740927954,-0.12580757854036947,0.023667099849741483,0.08960511495524373,-0.17828329882481453,-0.02084908064572411,-0.20643123416621212,0.2538348516418252
median_household_income,0.2943884540863932,-0.1091024249570534,1.0,0.7471564967239913,0.773226276984805,-0.7372072757086731,-0.3295840258828186,-0.35997639361353956,0.09093435330299793,0.7255521155186436,-0.03737508056517774,-0.1017442852612256,-0.229013277833067,0.27675215873884246,0.2827088760607004,0.09182185170327162
median_home_value,0.38725925891649254,-0.04524328748249201,0.7471564967239913,1.0,0.8501083033077934,-0.4305240648452226,-0.0984271681232557,-0.1672794129826319,-0.17869631053036497,0.7224857368292915,0.07074105894229438,0.018669855561695366,-0.1662526342467993,0.2977855620580455,0.3138109796753222,0.08525670154255988
median_gross_rent,0.4711203103161283,-0.18398968376940075,0.773226276984805,0.8501083033077934,1.0,-0.41171529646906996,-0.045378079445684866,-0.312175391110088,-0.2523073297719513,0.718876854209893,0.06060188585925873,0.09780510924231776,0.039727104962353314,0.3686679701648842,0.39804311697902844,0.09212063182668652
poverty_pct,-0.09765399005587148,-0.15939258969496034,-0.7372072757086731,-0.4305240648452226,-0.41171529646906996,1.0,0.5394748285695372,0.2140268779041975,-0.3486429802131242,-0.4614964609883535,0.09556256297748471,0.19388234860846432,0.36052223110887377,-0.21295957171266136,-0.1549377449218529,-0.15883359014694004
unemployment_pct,0.0662931379807409,-0.07788336525168166,-0.3295840258828186,-0.0984271681232557,-0.045378079445684866,0.5394748285695372,1.0,0.1283800491743894,-0.2498003093235474,-0.2053658172944144,0.08537936840851272,0.23085922057885772,0.2561077171903009,-0.049252852592947156,-0.03247764467142136,-0.04146153950397895
vacancy_pct,-0.21798826151199105,0.5017630311569584,-0.35997639361353956,-0.1672794129826319,-0.312175391110088,0.2140268779041975,0.1283800491743894,1.0,0.2790270844228261,-0.23153101359334693,0.03076386585437556,-0.023147930895934223,-0.06593703738544185,-0.06950711120342896,-0.07391230480495252,-0.01896392084055667
homeownership_pct,-0.31197513550936506,0.5684746740927954,0.09093435330299793,-0.17869631053036497,-0.2523073297719513,-0.3486429802131242,-0.2498003093235474,0.2790270844228261,1.0,-0.2378412961788412,-0.03163558238386064,-0.07692966505902644,-0.16555888691371895,0.0024879885831349037,-0.2040243401343934,0.2917644051833999
bachelors_plus_pct,0.3397273189188189,-0.12580757854036947,0.7255521155186436,0.7224857368292915,0.718876854209893,-0.4614964609883535,-0.2053658172944144,-0.23153101359334693,-0.2378412961788412,1.0,-0.010163227083856351,-0.022961886322355234,-0.21276316855468713,0.2582863716261561,0.32379423095979276,0.001260255067895633
declarations,0.10204022078122396,0.023667099849741483,-0.03737508056517774,0.07074105894229438,0.06060188585925873,0.09556256297748471,0.08537936840851272,0.03076386585437556,-0.03163558238386064,-0.010163227083856351,1.0,0.19851690341410674,0.07838504640343726,-0.023804715108282158,-0.05918390948193992,0.041210376158265366
precipitation_inches,0.04772233256647226,0.08960511495524373,-0.1017442852612256,0.018669855561695366,0.09780510924231776,0.19388234860846432,0.23085922057885772,-0.023147930895934223,-0.07692966505902644,-0.022961886322355234,0.19851690341410674,1.0,0.40869027369710637,0.10962674307743231,-0.009863396350894085,0.20799230411386363
temperature_f,0.09440511167174825,-0.17828329882481453,-0.229013277833067,-0.1662526342467993,0.039727104962353314,0.36052223110887377,0.2561077171903009,-0.06593703738544185,-0.16555888691371895,-0.21276316855468713,0.07838504640343726,0.40869027369710637,1.0,0.20972929741189908,0.14822046500418193,0.16257520531917963
inflow_individuals_per_1000,-0.04015914892753741,-0.02084908064572411,0.27675215873884246,0.2977855620580455,0.3686679701648842,-0.21295957171266136,-0.049252852592947156,-0.06950711120342896,0.0024879885831349037,0.2582863716261561,-0.023804715108282158,0.10962674307743231,0.20972929741189908,1.0,0.8257874526792777,0.6074694926648635
outflow_individuals_per_1000,0.005945352749146294,-0.20643123416621212,0.2827088760607004,0.3138109796753222,0.39804311697902844,-0.1549377449218529,-0.03247764467142136,-0.07391230480495252,-0.2040243401343934,0.32379423095979276,-0.05918390948193992,-0.009863396350894085,0.14822046500418193,0.8257874526792777,1.0,0.05364595811304879
net_individuals_per_1000,-0.07947773708215826,0.2538348516418252,0.09182185170327162,0.08525670154255988,0.09212063182668652,-0.15883359014694004,-0.04146153950397895,-0.01896392084055667,0.2917644051833999,0.001260255067895633,0.041210376158265366,0.20799230411386363,0.16257520531917963,0.6074694926648635,0.05364595811304879,1.0
